- 2026-03-02 | 7dc0f1e | chore: update assets, db config and frontend tweaks
- 2026-01-22 | 200f225 | Phase 2 Complete: Email Notifications System + GTM Integration
- 2026-01-14 | a9d7807 | Phase 1 Complete: Form testing, SEO optimization, documentation & email setup (Phase 2 preparation)
- 2026-01-14 | 87c6cfa | Actualizar landing page: reordenar secciones, ajustar spacing, mejorar footer y formulario
- 2026-01-14 | c9dfe3b | Update: Increase partner logos size by additional 5%
- 2026-01-14 | 915adf7 | Update: Reorder sections - Caught on Camera before Testimonials
- 2026-01-14 | dd3e8e3 | Add: Social feed posts from Instagram and TikTok
- 2026-01-14 | c0aa050 | Update: Improve spacing and layout between sections
- 2026-01-13 | e1b5298 | Add: Property image carousel with modal feature
- 2026-01-13 | 6967313 | Update: Property locations, price display, and price box styling
- 2026-01-13 | 44e3133 | Fix: Change image paths to relative URLs
- 2026-01-13 | 57f1bdd | Fix: Update image paths to absolute URLs
- 2026-01-13 | a058da9 | Fix: Correct element selectors in property loader
- 2026-01-13 | 7406e76 | Fix: Remove duplicate properties section
- 2026-01-13 | 48ca4ab | Fix: View all button event listener with improved debugging
- 2026-01-13 | b47ef79 | Add: YouTube channel link and Matterport 3D tour links
- 2026-01-13 | 3c962ab | Update: Real property data with images and fixed encoding
- 2026-01-13 | af8ce76 | feat: opci├│n A - mock data con 9 proyectos y toggle view all/less
- 2026-01-13 | 1005d49 | design: ajustar hero - aumentar padding-top 10%, reducir padding-bottom 10%, igualar titulo a 3rem, reducir botones
- 2026-01-13 | bf6618a | Revert "design: header transparente con fondo blanco al hacer scroll"
- 2026-01-13 | c32c761 | design: header transparente con fondo blanco al hacer scroll
- 2026-01-13 | bcc8dd6 | design: reducir hero 10% m├ís para 100% zoom + reordenar slider seg├║n preferencia
- 2026-01-13 | e611966 | design: optimizar hero 15% m├ís - ajustar espacios, tipograf├¡a y stats para 100% zoom
- 2026-01-13 | d092df0 | design: compactar hero - reducir padding, tama├▒o de fuente, gaps y botones
- 2026-01-13 | 76ac2e9 | feat: simplificar hero - eliminar stats/badge, reducir texto, botones redirigen a contacto
- 2026-01-13 | c255b99 | fix: resolver todos los warnings - 0 errors, 0 warnings restantes
- 2026-01-13 | f782a0e | fix: arreglar todos los warnings - CSS inline, rel noopener, webkit backdrop-filter
- 2026-01-13 | 213e7ca | feat: hero animation sincronizada con logos (60 FPS)
- 2026-01-13 | a7232ab | fix: Unificar APIs, a├▒adir notificaci├│n email y config din├ímico
- 2026-01-12 | e711de8 | feat: integrate mission and vision PNG icons
- 2026-01-12 | a9da672 | feat: integrate mission and vision PNG icons
- 2026-01-12 | 4931e32 | feat: footer logo with white text and hero animation structure
- 2026-01-12 | 232cfd5 | feat: implement director's design changes
- 2026-01-12 | 7a67b25 | fix: correct properties grid ID from kebab-case to camelCase
- 2026-01-12 | 3c5206a | fix: correct property-loader.js structure and syntax errors
- 2026-01-12 | ca6513b | feat: add database configuration file
- 2026-01-12 | ef713c0 | fix: add SOCIAL_POSTS endpoint and database config file
- 2026-01-12 | 582a4b7 | fix: resolve Git merge conflicts in JS files
- 2026-01-12 | 992bbe4 | fix: replace TRUNCATE with DELETE to respect FK constraints
- 2026-01-12 | f095c53 | chore: update social posts with placeholder images
- 2026-01-12 | fde193c | feat: add properties section between trust bar and vision/mission
- 2026-01-12 | c2af168 | docs: comprehensive README update with detailed installation and troubleshooting
- 2026-01-12 | 9dff6a0 | feat: social media feed system and UI improvements
- 2026-01-12 | 03392ed | actualizacion de imagenes en carpeta de partners
- 2026-01-12 | 09522fd | feat: reorganizaci├│n formulario contacto, secci├│n visi├│n/misi├│n y actualizaci├│n bancos
- 2026-01-12 | 3fe8093 | add imagenes de brokers
- 2026-01-12 | 93710b0 | chore: add .gitkeep files to track empty directories (team and properties folders)
- 2026-01-12 | 3c03cd3 | actualizacion de repositorio
- 2026-01-12 | f80620b | WIP: cambios locales antes de pull
- 2026-01-12 | 2a3a6b9 | feat: WhatsApp integration, team section, social media updates and hero slider improvements
- 2026-01-11 | 1126057 | feat: Fase 2 completa - Backend MySQL + Hero Slider animado
- 2026-01-09 | 2206129 | feat: Preparacion para produccion - Fase 1 completa
- 2026-01-08 | ed8f151 | Primer commit del proyecto
- 2026-01-08 | 5d8aba5 | first commit
